Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,target,kfold
35,4.9,3.1,1.5,0.1,Iris-setosa,0
110,7.2,3.6,6.1,2.5,Iris-virginica,0
1,5.1,3.5,1.4,0.2,Iris-setosa,0
108,7.3,2.9,6.3,1.8,Iris-virginica,0
121,6.9,3.2,5.7,2.3,Iris-virginica,0
125,6.7,3.3,5.7,2.1,Iris-virginica,0
72,6.1,2.8,4.0,1.3,Iris-versicolor,0
21,5.4,3.4,1.7,0.2,Iris-setosa,0
147,6.3,2.5,5.0,1.9,Iris-virginica,0
152,,,,1.8,Iris-virginica,0
22,5.1,3.7,1.5,0.4,Iris-setosa,0
53,6.9,3.1,4.9,1.5,Iris-versicolor,0
123,7.7,2.8,6.7,2.0,Iris-virginica,0
128,6.1,3.0,4.9,1.8,Iris-virginica,0
129,6.4,2.8,5.6,2.1,Iris-virginica,0
86,6.0,3.4,4.5,1.6,Iris-versicolor,0
79,6.0,2.9,4.5,1.5,Iris-versicolor,0
97,5.7,2.9,4.2,1.3,Iris-versicolor,0
117,6.5,3.0,5.5,1.8,Iris-virginica,0
111,6.5,3.2,5.1,2.0,Iris-virginica,0
50,5.0,3.3,1.4,0.2,Iris-setosa,0
47,5.1,3.8,1.6,0.2,Iris-setosa,0
32,5.4,3.4,1.5,0.4,Iris-setosa,0
62,5.9,3.0,4.2,1.5,Iris-versicolor,0
140,6.9,3.1,5.4,2.1,Iris-virginica,1
68,5.8,2.7,4.1,1.0,Iris-versicolor,0
59,6.6,2.9,4.6,1.3,Iris-versicolor,0
109,6.7,2.5,5.8,1.8,Iris-virginica,1
65,5.6,2.9,3.6,1.3,Iris-versicolor,0
25,4.8,3.4,1.9,0.2,Iris-setosa,0
33,5.2,4.1,1.5,0.1,Iris-setosa,0
29,5.2,3.4,1.4,0.2,Iris-setosa,0
80,5.7,2.6,3.5,1.0,Iris-versicolor,0
149,6.2,3.4,5.4,2.3,Iris-virginica,1
41,5.0,3.5,1.3,0.3,Iris-setosa,1
89,5.6,3.0,4.1,1.3,Iris-versicolor,1
105,6.5,3.0,5.8,2.2,Iris-virginica,1
146,6.7,3.0,5.2,2.3,Iris-virginica,1
137,6.3,3.4,5.6,2.4,Iris-virginica,1
130,7.2,3.0,5.8,1.6,Iris-virginica,1
135,6.1,2.6,5.6,1.4,Iris-virginica,1
114,5.7,2.5,5.0,2.0,Iris-virginica,1
71,5.9,3.2,4.8,1.8,Iris-versicolor,1
58,4.9,2.4,3.3,1.0,Iris-versicolor,1
